#{"t_start": 1731331267.9739974, "env_id": "CartPole-v1"}
r,l,t
216.0,216,37.433501
158.0,158,37.676045
172.0,172,37.939933
179.0,179,38.216856
189.0,189,38.513774
211.0,211,38.855631
177.0,177,39.146262
206.0,206,39.469986
172.0,172,39.745757
184.0,184,40.033515
197.0,197,40.345705
200.0,200,40.671162
193.0,193,40.983631
171.0,171,41.250862
169.0,169,41.512503
182.0,182,41.795987
183.0,183,42.085806
155.0,155,42.334843
226.0,226,42.69356
176.0,176,42.975959
242.0,242,43.357836
191.0,191,43.653133
194.0,194,43.958495
157.0,157,44.207753
153.0,153,44.44991
205.0,205,44.779755
202.0,202,45.102224
174.0,174,45.374351
205.0,205,45.696876
181.0,181,45.982225
243.0,243,46.363449
151.0,151,46.597885
194.0,194,46.902287
175.0,175,47.175343
162.0,162,47.430285
196.0,196,48.004417
157.0,157,48.534528
168.0,168,49.108534
170.0,170,49.683682
188.0,188,50.31945
181.0,181,50.931414
166.0,166,51.493345
194.0,194,52.149565
174.0,174,52.737299
170.0,170,53.311721
192.0,192,53.960842
215.0,215,54.687577
188.0,188,55.32261
176.0,176,55.917089
179.0,179,56.522098
198.0,198,57.192569
181.0,181,57.805617
184.0,184,58.427925
188.0,188,59.063506
184.0,184,59.685653
160.0,160,60.226881
165.0,165,60.784796
156.0,156,61.312589
204.0,204,62.002707
162.0,162,62.554145
171.0,171,63.132102
202.0,202,63.816651
163.0,163,64.367864
162.0,162,64.915868
175.0,175,65.507896
200.0,200,66.184657
188.0,188,66.820967
154.0,154,67.341326
168.0,168,67.912229
166.0,166,68.47951
172.0,172,69.061052
162.0,162,69.610313
157.0,157,70.141609
166.0,166,70.703186
208.0,208,71.406438
154.0,154,71.926688
182.0,182,72.54278
183.0,183,73.161536
192.0,192,73.811382
151.0,151,74.321893
167.0,167,74.885865
173.0,173,75.470317
193.0,193,76.123067
173.0,173,76.707372
187.0,187,77.340235
192.0,192,78.00592
187.0,187,79.193548
245.0,245,80.138635
156.0,156,80.664898
235.0,235,81.464619
159.0,159,81.998738
152.0,152,82.508916
166.0,166,83.066652
181.0,181,83.690573
159.0,159,84.224931
144.0,144,84.710613
184.0,184,85.328484
196.0,196,85.986951
169.0,169,86.553455
166.0,166,87.110957
157.0,157,87.646928
162.0,162,88.197839
180.0,180,88.803566
148.0,148,89.30123
154.0,154,89.819115
160.0,160,90.356534
178.0,178,90.955044
147.0,147,91.449087
162.0,162,91.993707
188.0,188,92.625459
187.0,187,93.253323
147.0,147,93.749829
155.0,155,94.270365
169.0,169,94.838834
194.0,194,95.490132
159.0,159,96.023721
148.0,148,96.520392
162.0,162,97.064394
208.0,208,97.763613
187.0,187,98.392534
158.0,158,98.923187
172.0,172,99.500256
176.0,176,100.091148
209.0,209,100.792863
166.0,166,101.349196
181.0,181,101.956574
150.0,150,102.459976
152.0,152,102.969895
191.0,191,103.611299
164.0,164,104.161682
175.0,175,104.749357
151.0,151,105.256098
182.0,182,105.866517
185.0,185,106.48737
156.0,156,107.011064
183.0,183,107.626848
151.0,151,108.134668
167.0,167,108.695665
148.0,148,109.193371
138.0,138,109.657301
171.0,171,110.233592
140.0,140,110.704404
145.0,145,111.191641
185.0,185,111.806267
144.0,144,112.298992
210.0,210,113.003886
162.0,162,113.549598
165.0,165,114.106719
181.0,181,114.715873
148.0,148,115.213913
159.0,159,115.748357
170.0,170,116.320122
138.0,138,116.784281
154.0,154,117.304519
172.0,172,117.884218
174.0,174,118.470232
136.0,136,118.927619
155.0,155,119.449098
151.0,151,119.958343
168.0,168,120.523741
140.0,140,120.994298
161.0,161,121.535359
181.0,181,122.14531
173.0,173,122.728402
141.0,141,123.203476
170.0,170,123.775704
145.0,145,124.264004
165.0,165,124.819076
167.0,167,125.380263
147.0,147,125.878899
162.0,162,126.424331
161.0,161,126.966084
168.0,168,127.530531
171.0,171,128.106253
146.0,146,128.597135
198.0,198,129.263966
170.0,170,129.836513
172.0,172,130.414574
146.0,146,130.905321
169.0,169,131.473536
144.0,144,131.96482
135.0,135,132.427112
155.0,155,132.94831
149.0,149,133.450219
141.0,141,133.942925
173.0,173,134.527314
149.0,149,135.033145
151.0,151,135.54286
147.0,147,136.038067
174.0,174,136.624053
153.0,153,137.159388
135.0,135,137.615313
138.0,138,138.080576
142.0,142,138.566564
192.0,192,139.215179
187.0,187,139.866087
147.0,147,140.362489
162.0,162,140.908654
163.0,163,141.458888
147.0,147,141.95509
154.0,154,142.473645
146.0,146,142.965418
165.0,165,143.520791
167.0,167,144.105373
183.0,183,144.728619
155.0,155,145.249806
147.0,147,145.74518
157.0,157,146.273845
169.0,169,146.84321
154.0,154,147.362599
134.0,134,147.816708
192.0,192,148.464716
148.0,148,148.964052
146.0,146,149.45647
173.0,173,150.039339
156.0,156,150.565173
157.0,157,151.105459
150.0,150,151.611007
189.0,189,152.260653
150.0,150,152.768859
136.0,136,153.227389
137.0,137,153.691667
161.0,161,154.234581
135.0,135,154.689909
159.0,159,155.226334
148.0,148,155.726354
131.0,131,156.1681
175.0,175,156.766966
162.0,162,157.324224
134.0,134,157.775879
143.0,143,158.256818
156.0,156,158.781254
136.0,136,159.23902
160.0,160,159.778293
140.0,140,160.25031
166.0,166,160.814254
155.0,155,161.33811
151.0,151,161.847853
151.0,151,162.357458
227.0,227,163.122948
160.0,160,163.688075
137.0,137,164.150364
160.0,160,164.691026
167.0,167,165.255228
145.0,145,165.744652
146.0,146,166.237658
148.0,148,166.737835
159.0,159,167.274893
168.0,168,167.8429
163.0,163,168.393897
170.0,170,168.968015
153.0,153,169.484721
167.0,167,170.049376
175.0,175,170.657879
142.0,142,171.137649
151.0,151,171.650221
156.0,156,172.180552
175.0,175,172.77356
167.0,167,173.338054
156.0,156,173.874243
141.0,141,174.352014
166.0,166,174.912976
155.0,155,175.436716
173.0,173,176.022232
155.0,155,176.545637
134.0,134,176.997929
146.0,146,177.502186
162.0,162,178.058721
151.0,151,178.569291
154.0,154,179.089549
158.0,158,179.628476
146.0,146,180.122171
157.0,157,180.660604
153.0,153,181.179325
151.0,151,181.690745
171.0,171,182.269749
139.0,139,182.741041
147.0,147,183.23821
175.0,175,183.835256
169.0,169,184.406814
156.0,156,184.935236
153.0,153,185.45294
139.0,139,185.923424
144.0,144,186.411292
176.0,176,187.012201
166.0,166,187.573925
175.0,175,188.181931
210.0,210,188.905589
162.0,162,189.457186
174.0,174,190.415565
174.0,174,190.71681
137.0,137,190.9559
143.0,143,191.195908
170.0,170,191.490199
203.0,203,191.824792
177.0,177,192.12781
165.0,165,192.400871
164.0,164,192.668773
149.0,149,192.911055
151.0,151,193.156653
139.0,139,193.390458
114.0,114,193.584805
145.0,145,193.834654
176.0,176,194.138145
173.0,173,194.420425
139.0,139,194.647754
144.0,144,194.886213
140.0,140,195.118714
186.0,186,195.434037
169.0,169,195.71491
164.0,164,195.982101
161.0,161,196.24521
141.0,141,196.478605
155.0,155,196.734129
147.0,147,196.978896
147.0,147,197.218689
182.0,182,197.525665
143.0,143,197.763438
185.0,185,198.062004
159.0,159,198.31869
160.0,160,198.576293
172.0,172,198.854711
154.0,154,199.103325
163.0,163,199.36429
158.0,158,199.628572
144.0,144,199.861857
190.0,190,200.167613
191.0,191,200.477217
