Mon Nov 11 17:34:01 2024    output.prof

         19163925 function calls (17691946 primitive calls) in 45.691 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2475    0.015    0.000    0.172    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/nn/utils/clip_grad.py:69(<listcomp>)
    57493    0.056    0.000    0.170    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/autograd/grad_mode.py:84(__exit__)
    57493    0.061    0.000    0.169    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/autograd/grad_mode.py:80(__enter__)
   238098    0.065    0.000    0.164    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/nn/modules/module.py:2722(children)
    24824    0.162    0.000    0.162    0.000 {built-in method torch._ops.profiler.}
   173776    0.054    0.000    0.160    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/utils/_pytree.py:665(_get_node_type)
    12412    0.041    0.000    0.159    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/optim/optimizer.py:167(_default_to_fused_or_foreach)
     9937    0.022    0.000    0.158    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/numpy/_core/fromnumeric.py:2255(sum)
2223/2176    0.068    0.000    0.156    0.000 {built-in method builtins.__build_class__}
    99302    0.043    0.000    0.153    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/utils/_pytree.py:672(_is_leaf)
    14887    0.020    0.000    0.150    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/numpy/_core/fromnumeric.py:3068(prod)
    10000    0.033    0.000    0.148    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/stable_baselines3/common/off_policy_algorithm.py:441(_store_transition)
    38435    0.066    0.000    0.147    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/nn/modules/container.py:312(_get_abs_string_index)
415642/139798    0.131    0.000    0.147    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/nn/modules/module.py:2778(named_modules)
        1    0.000    0.000    0.147    0.147 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/_dynamo/variables/builtin.py:1(<module>)
    17648    0.144    0.000    0.144    0.000 {method 'argmax' of 'torch._C.TensorBase' objects}
61424/20052    0.064    0.000    0.142    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/copy.py:128(deepcopy)
     9937    0.138    0.000    0.138    0.000 /home/rikka/files/codes/my-RL-lib/my_rl_library/utils/SamplePool.py:83(<listcomp>)
53197/53195    0.027    0.000    0.138    0.000 {built-in method builtins.all}
    12412    0.013    0.000    0.137    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/_tensor.py:1026(__rsub__)
        1    0.000    0.000    0.136    0.136 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/_dynamo/variables/ctx_manager.py:1(<module>)
        1    0.000    0.000    0.133    0.133 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/_dynamo/variables/functions.py:1(<module>)
    20000    0.095    0.000    0.133    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/gymnasium/spaces/discrete.py:94(contains)
    12417    0.017    0.000    0.129    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/cuda/__init__.py:116(is_available)
    12412    0.124    0.000    0.124    0.000 {built-in method torch.rsub}
        1    0.000    0.000    0.124    0.124 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/distributed/_composable/__init__.py:1(<module>)
        1    0.000    0.000    0.123    0.123 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/distributed/_composable/fully_shard.py:1(<module>)
